County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Cumberland,East Pennsboro Twp,10,31,88,2,0,In Progress
Montgomery,Upper Dublin Twp,1,12,53,2,0,In Progress
Indiana,Armagh,14,41,62,2,0,In Progress
Northampton,Forks,7,18,138,1,2298,
Bucks,Solebury Twp,1,10,29,1,1874,
Bucks,Lower Southampton Twp,1,6,142,1,1463,
Bucks,Doylestown Boro,1,10,29,1,1278,
Lawrence,New Castle,16,50,9,1,965,
Westmoreland,Derry Twp,14,41,59,1,858,
Blair,Frankstown Twp,13,30,80,1,760,
Bucks,Bristol Boro,1,10,141,1,679,
Chester,E Vincent Twp,6,44,26,1,606,
Venango,Oil City,15,21,64,1,447,
Blair,Antis Twp,13,30,80,1,415,
Blair,Blair Twp,13,30,80,1,368,
Schuylkill,West Brunswick Twp,9,29,124,1,268,
Schuylkill,Tamaqua Boro,9,29,124,1,247,
Northumberland,Ralpho Twp,9,27,107,1,224,
Northumberland,Sunbury City,9,27,108,1,223,
Schuylkill,Butler Twp,9,29,123,1,196,
Schuylkill,Orwigsburg Boro,9,29,124,1,178,
Blair,Taylor Twp,13,30,80,1,177,
Berks,Laureldale Boro,4,11,126,1,174,
Schuylkill,Washington Twp,9,29,107,1,167,
Northumberland,Point Twp,9,27,108,1,162,
Blair,Snyder Twp,13,30,80,1,145,
Schuylkill,Norwegian Twp,9,29,123,1,136,
Northumberland,Delaware Twp,9,27,108,1,114,
Northumberland,Shamokin City,9,27,107,1,112,
Northumberland,Mount Carmel Twp,9,27,107,1,106,
Northumberland,Northumberland Boro,9,27,108,1,105,
Huntingdon,Porter Twp,13,30,81,1,100,
Schuylkill,Shenandoah Boro,9,29,116,1,97,
Venango,Frenchcreek Twp,16,21,64,1,89,
Venango,Oakland Twp,15,21,64,1,72,
Blair,Bellwood Boro,13,30,80,1,56,
Schuylkill,Blythe Twp,9,29,123,1,45,
Blair,Juniata Twp,13,30,80,1,40,
Northumberland,Rush Twp,9,27,108,1,37,
Schuylkill,New Castle Twp,9,29,123,1,13,
Montgomery,Springfield Twp,4,12,153,1,1,In Progress
Montgomery,Trappe Boro Boro,4,44,150,1,0,In Progress
Montgomery,Lower Pottsgrove Twp,4,24,147,1,0,In Progress
Montgomery,Trappe Boro Boro,4,17,149,1,0,In Progress
Montgomery,Lower Merion Twp,4,12,61,1,0,In Progress
